ProductID,Name,Category,Price,Stock
101,Specific Year,Home Appliances,21280,457
102,American Letter,Footwear,74718,363
103,White Fear,Home Appliances,42846,351
104,Represent Dinner,Clothing,56451,124
105,Will Piece,Clothing,79028,327
106,Sport Couple,Clothing,39558,307
107,Marriage Police,Accessories,85281,1
108,Result Dream,Home Appliances,35532,68
109,Various Situation,Clothing,57938,249
110,See Later,Electronics,63602,207
111,Land Back,Home Appliances,11913,403
112,Information How,Clothing,26111,54
113,Several College,Accessories,51559,430
114,Keep Onto,Home Appliances,51391,474
115,Candidate Program,Accessories,76792,163
116,Responsibility Free,Accessories,87708,75
117,Figure Above,Accessories,8371,442
118,Before Fine,Clothing,40200,295
119,Page Really,Clothing,78622,189
120,Safe Successful,Home Appliances,57427,31
121,Entire Ask,Electronics,64845,31
122,Before Win,Electronics,66034,43
123,Chair Kid,Home Appliances,82614,25
124,Somebody Church,Accessories,37556,87
125,Including Rock,Footwear,4236,456
126,Over Including,Accessories,72847,213
127,Total Part,Electronics,83005,57
128,Miss Simple,Accessories,33001,378
129,Science Evening,Footwear,44002,431
130,Also Improve,Home Appliances,23482,456
131,First Least,Electronics,6164,370
132,Anyone Few,Footwear,81329,216
133,Commercial Star,Electronics,37040,115
134,Glass Here,Electronics,10585,311
135,Staff Apply,Electronics,20087,11
136,Include Doctor,Footwear,65456,19
137,Require Eye,Accessories,2356,360
138,Force Child,Clothing,59159,392
139,Matter Since,Home Appliances,49095,488
140,Special Some,Clothing,86828,445
141,Above Figure,Clothing,26247,285
142,Suggest Both,Home Appliances,23101,374
143,Build Almost,Clothing,94080,321
144,Language Right,Footwear,81888,67
145,Today Drug,Footwear,65441,339
146,Small Point,Clothing,68870,328
147,Concern Pretty,Accessories,87771,213
148,Tonight Market,Accessories,57142,481
149,Speak Reflect,Clothing,29486,417
150,Card Than,Footwear,99206,176
151,Season Democratic,Clothing,99220,105
152,Like Understand,Accessories,55663,26
153,Government Subject,Footwear,80746,470
154,War Stage,Footwear,76054,252
155,News Hour,Home Appliances,52813,445
156,Probably Nothing,Footwear,17716,41
157,This Style,Clothing,93141,15
158,Republican Capital,Clothing,54839,341
159,Mouth Arm,Accessories,87791,92
160,Doctor Image,Clothing,34412,138
161,Someone Our,Accessories,85302,325
162,Never Do,Clothing,60969,399
163,About Yeah,Clothing,30137,122
164,Official Ahead,Clothing,11540,463
165,Stand Model,Electronics,94813,444
166,Rule Develop,Footwear,27455,191
167,Part Year,Clothing,8723,399
168,Must Common,Electronics,78562,173
169,Lead Magazine,Accessories,2243,434
170,Though Look,Electronics,46435,428
171,People Pay,Accessories,80726,335
172,Reason Everything,Electronics,31506,396
173,Lay Oil,Home Appliances,22358,229
174,Environmental Full,Electronics,67454,438
175,Green Democrat,Footwear,96601,498
176,Win Husband,Accessories,11856,245
177,At Reveal,Electronics,3899,6
178,Tv Writer,Accessories,90492,42
179,Expert Forward,Electronics,43744,233
180,Management Establish,Footwear,26715,386
181,Space Enjoy,Footwear,14980,399
182,Clear Pull,Home Appliances,96300,419
183,Nature Save,Footwear,44086,465
184,You Whom,Footwear,95822,467
185,Take Beautiful,Accessories,46996,346
186,Day None,Electronics,68664,196
187,Low Certain,Electronics,65670,195
188,Industry Affect,Clothing,38374,120
189,Child Pm,Electronics,62600,145
190,Break Activity,Home Appliances,15322,364
191,Bit Himself,Electronics,44788,133
192,Professor Guess,Accessories,83240,165
193,Behind Exactly,Electronics,33533,3
194,Change Through,Home Appliances,18598,53
195,Improve Relationship,Clothing,7737,418
196,Control Machine,Electronics,62943,243
197,Strategy Opportunity,Home Appliances,62474,198
198,Hair Woman,Clothing,17606,247
199,Go Money,Clothing,47146,454
200,Education Last,Electronics,87476,255
201,Difference Practice,Clothing,98641,96
202,Call Rule,Home Appliances,3204,262
203,Experience Foot,Electronics,86728,269
204,Than New,Electronics,98854,9
205,Perhaps Agreement,Accessories,9651,32
206,Claim Someone,Footwear,30287,107
207,Wonder Take,Accessories,98909,417
208,Receive Pick,Accessories,55649,156
209,Design Change,Electronics,40040,446
210,Class Fall,Footwear,90937,100
211,Watch Mention,Clothing,35601,466
212,Field Themselves,Accessories,89144,178
213,Upon Reduce,Clothing,27766,390
214,Authority Girl,Electronics,78995,31
215,Side What,Clothing,72108,390
216,Back Forget,Clothing,82927,289
217,Hope Difficult,Clothing,59168,369
218,Across Between,Clothing,99409,23
219,Space Need,Accessories,7543,171
220,Stuff Half,Electronics,87586,490
221,Anyone Million,Accessories,15145,450
222,Hair Red,Home Appliances,45633,281
223,Mention Billion,Electronics,47137,184
224,Fish Coach,Home Appliances,32116,128
225,Special Structure,Clothing,75396,23
226,Home Sit,Clothing,58818,3
227,Source Probably,Home Appliances,76163,7
228,Spring Foreign,Home Appliances,32213,114
229,Final Each,Accessories,56403,115
230,Health Million,Electronics,50296,84
231,Important Wish,Electronics,96086,3
232,Truth News,Electronics,1272,141
233,Cause Speak,Home Appliances,4571,17
234,Full Site,Accessories,27818,79
235,Individual Sometimes,Clothing,82407,154
236,Claim Try,Clothing,40848,28
237,Hold Area,Clothing,6076,348
238,Lawyer Protect,Clothing,56592,455
239,Song Pull,Electronics,99568,409
240,Wrong And,Footwear,41796,9
241,Growth Term,Footwear,49670,409
242,Market Interesting,Accessories,73301,431
243,At Attack,Accessories,18286,154
244,Happen Even,Electronics,22841,419
245,Including Discover,Footwear,45407,463
246,Discuss Audience,Accessories,58326,37
247,Onto For,Clothing,48779,332
248,Large Song,Clothing,91196,313
249,Quality Wish,Footwear,85804,291
250,Likely Whom,Electronics,28003,295
251,Still Age,Electronics,75644,31
252,Bed Nature,Footwear,45286,302
253,Around Huge,Electronics,58573,278
254,Hundred Garden,Footwear,69140,192
255,Skill Power,Footwear,40835,352
256,Voice Recent,Accessories,85022,126
257,Deep Democratic,Footwear,8657,334
258,Read Involve,Footwear,21524,350
259,World Hair,Accessories,21890,102
260,President Section,Footwear,99555,76
261,Quickly Key,Electronics,76238,309
262,Let Yeah,Home Appliances,13245,212
263,Ball Grow,Electronics,35715,338
264,Partner Foreign,Electronics,15178,269
265,Current Material,Footwear,52222,339
266,Write How,Home Appliances,20870,193
267,Visit Change,Footwear,57006,240
268,Woman Money,Accessories,65806,35
269,Every Add,Home Appliances,35181,426
270,Key Know,Clothing,27941,240
271,Finally Determine,Footwear,55008,481
272,System Attorney,Clothing,7277,372
273,Economy Whom,Home Appliances,10503,461
274,Will Person,Accessories,69645,425
275,Body Issue,Accessories,64390,417
276,Foot Hear,Home Appliances,89461,419
277,Other Scene,Footwear,28147,15
278,Story Here,Clothing,57201,43
279,Subject Effort,Electronics,93816,169
280,Difficult How,Accessories,50084,324
281,Yet Next,Accessories,79924,15
282,Author Trade,Clothing,95218,180
283,Employee Wife,Accessories,88907,362
284,Authority West,Clothing,43992,282
285,Teach What,Accessories,14541,238
286,Agent Make,Footwear,99004,382
287,Strong Human,Electronics,36521,280
288,Within Wall,Clothing,59997,265
289,Give Amount,Clothing,44035,67
290,Establish Mind,Accessories,55061,442
291,Just Usually,Footwear,40365,471
292,Beyond Do,Clothing,88332,60
293,Especially Whom,Electronics,17432,149
294,Ask Enjoy,Accessories,70913,192
295,Until Mouth,Accessories,80120,486
296,Police Discover,Electronics,60698,174
297,Body While,Electronics,66038,334
298,Strategy Also,Clothing,15834,34
299,Suggest Teach,Accessories,60766,102
